Match No,Date,Time,Team A,Team B,Venue
1,22/03/2025,19:30:00,KKR,RCB,"Eden Gardens, Kolkata"
2,23/03/2025,15:30:00,SRH,RR,"Rajiv Gandhi International Stadium, Hyderabad"
3,23/03/2025,19:30:00,CSK,MI,"MA Chidambaram Stadium, Chennai"
4,24/03/2025,19:30:00,DC,LSG,"Dr.Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam"
5,25/03/2025,19:30:00,GT,PBKS,"Narendra Modi Stadium, Ahmedabad"
6,26/03/2025,19:30:00,RR,KKR,"Barsapara Cricket Stadium, Guwahati"
7,27/03/2025,19:30:00,SRH,LSG,"Rajiv Gandhi International Stadium, Hyderabad"
8,28/03/2025,19:30:00,CSK,RCB,"MA Chidambaram Stadium, Chennai"
9,29/03/2025,19:30:00,GT,MI,"Narendra Modi Stadium, Ahmedabad"
10,30/03/2025,15:30:00,DC,SRH,"Dr.Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam"
11,30/03/2025,19:30:00,RR,CSK,"Barsapara Cricket Stadium, Guwahati"
12,31/03/2025,19:30:00,MI,KKR,"Wankhede Stadium, Mumbai"
13,01/04/2025,19:30:00,LSG,PBKS,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
14,02/04/2025,19:30:00,RCB,GT,"M Chinnaswamy Stadium, Bengaluru"
15,03/04/2025,19:30:00,KKR,SRH,"Eden Gardens, Kolkata"
16,04/04/2025,19:30:00,LSG,MI,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
17,05/04/2025,15:30:00,CSK,DC,"MA Chidambaram Stadium, Chennai"
18,05/04/2025,19:30:00,PBKS,RR,"Maharaja Yadavindra Singh International Cricket Stadium - Mullanpur, Chandigarh"
19,06/04/2025,15:30:00,KKR,LSG,"Eden Gardens, Kolkata"
20,06/04/2025,19:30:00,SRH,GT,"Rajiv Gandhi International Stadium, Hyderabad"
21,07/04/2025,19:30:00,MI,RCB,"Wankhede Stadium, Mumbai"
22,08/04/2025,19:30:00,PBKS,CSK,"Maharaja Yadavindra Singh International Cricket Stadium - Mullanpur, Chandigarh"
23,09/04/2025,19:30:00,GT,RR,"Narendra Modi Stadium, Ahmedabad"
24,10/04/2025,19:30:00,RCB,DC,"M Chinnaswamy Stadium, Bengaluru"
25,11/04/2025,19:30:00,CSK,KKR,"MA Chidambaram Stadium, Chennai"
26,12/04/2025,15:30:00,LSG,GT,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
27,12/04/2025,19:30:00,SRH,PBKS,"Rajiv Gandhi International Stadium, Hyderabad"
28,13/04/2025,15:30:00,RR,RCB,"Sawai Mansingh Stadium, Jaipur"
29,13/04/2025,19:30:00,DC,MI,"Arun Jaitley Stadium, Delhi"
30,14/04/2025,19:30:00,LSG,CSK,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
