Player_ID,Name,Team,Captain,Keeper,Overseas,Role,Batting Style,Bowling Style,Nationality,DOB
1,Ruturaj Gaikwad,CSK,Y,N,N,Batter,Right Handed,Right-Arm Offbreak,Indian,31/01/1997
2,Devon Conway,CSK,N,N,Y,Batter,Left Handed,Right-Arm Medium,New Zealand,08/07/1991
3,Rahul Tripathi,CSK,N,N,N,Batter,Right Handed,Right-Arm Medium,Indian,02/03/1991
4,Shaik Rasheed,CSK,N,N,N,Batter,Right Handed,Leg Break,Indian,24/09/2004
5,Andre Siddarth,CSK,N,N,N,Batter,Right Handed,-,Indian,28/08/2006
6,Rachin Ravindra,CSK,N,N,Y,All Rounder,Left Handed,Slow Left-Arm Orthodox,New Zealand,18/11/1999
7,Ravichandran Ashwin,CSK,N,N,N,All Rounder,Right Handed,Right-Arm Offbreak,Indian,17/09/1986
8,Vijay Shankar,CSK,N,N,N,All Rounder,Right Handed,Right-Arm Medium,Indian,26/01/1991
9,Sam Curran,CSK,N,N,Y,All Rounder,Left Handed,Left-Arm Medium Fast,English,03/06/1998
10,Anshul Kamboj,CSK,N,N,N,All Rounder,Right Handed,Right-Arm Medium,Indian,06/12/2000
11,Deepak Hooda,CSK,N,N,N,All Rounder,Right Handed,Right-Arm Offbreak,Indian,19/04/1995
12,Jamie Overton,CSK,N,N,Y,All Rounder,Right Handed,Right-Arm Fast,English,10/04/1994
13,Kamlesh Nagarkoti,CSK,N,N,N,Bowler,Right Handed,Right-Arm Fast,Indian,28/12/1999
14,Ramakrishna Ghosh,CSK,N,N,N,All Rounder,Right Handed,Right-Arm Medium Fast,Indian,28/08/1997
15,Ravindra Jadeja,CSK,N,N,N,All Rounder,Left Handed,Slow Left-Arm Orthodox,Indian,06/12/1988
16,Shivam Dube,CSK,N,N,N,All Rounder,Left Handed,Right-Arm Medium,Indian,26/06/1993
17,MS Dhoni,CSK,N,Y,N,Wicket Keeper,Right Handed,Right-Arm Medium,Indian,07/07/1981
18,Vansh Bedi,CSK,N,Y,N,Wicket Keeper,Right Handed,-,Indian,23/12/2002
19,Khaleel Ahmed,CSK,N,N,N,Bowler,Right Handed,Left-Arm Fast Medium,Indian,05/12/1997
20,Noor Ahmad,CSK,N,N,Y,Bowler,Right Handed,Left-Arm Wrist Spin,Afghanistan,03/01/2005
21,Mukesh Choudhary,CSK,N,N,N,Bowler,Left Handed,Left-Arm Medium,Indian,06/07/1996
22,Gurjapneet Singh,CSK,N,N,N,Bowler,Right Handed,Left-Arm Medium Fast,Indian,08/11/1998
23,Nathan Ellis,CSK,N,N,Y,Bowler,Right Handed,Right-Arm Fast Medium,Australian,22/09/1994
24,Shreyas Gopal,CSK,N,N,N,All Rounder,Right Handed,Leg Break,Indian,04/09/1993
25,Matheesha Pathirana,CSK,N,N,Y,Bowler,Right Handed,Right-Arm Fas,Sri Lankan,18/12/2002
1,KL Rahul,DC,N,Y,N,Wicket Keeper,Right Handed,-,Indian,18/04/1992
2,Harry Brook,DC,N,N,Y,Batter,Right Handed,Right-Arm Medium,English,22/02/1999
3,Jake Fraser McGurk,DC,N,N,Y,Batter,Right Handed,Leg Break Googly,Australian,11/04/2002
4,Karun Nair,DC,N,N,N,Batter,Right Handed,Right-Arm Offbreak,Indian,06/12/1991
5,Faf du Plessis,DC,N,N,Y,Batter,Right Handed,Leg Break,South African,13/07/1984
6,Donovan Ferreira,DC,N,Y,Y,All Rounder,Right Handed,Right-Arm Offbreak,South African,21/07/1998
7,Abishek Porel,DC,N,Y,N,Wicket Keeper,Left Handed,-,Indian,17/10/2002
8,Tristan Stubbs,DC,N,Y,Y,Batter,Right Handed,Right-Arm Offbreak,South African,14/08/2000
9,Sameer Rizvi,DC,N,N,N,Batter,Right Handed,Right-Arm Offbreak,Indian,06/12/2003
10,Ashutosh Sharma,DC,N,N,N,All Rounder,Right Handed,Right-Arm Medium,Indian,15/09/1998
11,Darshan Nalkande,DC,N,N,N,All Rounder,Right Handed,Right-Arm Fast Medium,Indian,04/10/1998
12,Vipraj Nigam,DC,N,N,N,Bowler,Right Handed,Leg Break,Indian,28/07/2004
13,Ajay Mandal,DC,N,N,N,All Rounder,Left Handed,Slow Left-Arm Orthodox,Indian,25/02/1996
14,Manvanth Kumar L,DC,N,N,N,All Rounder,Left Handed,Right-Arm Fast Medium,Indian,11/01/2004
15,Tripurana Vijay,DC,N,N,N,Bowler,Right Handed,Right-Arm Offbreak,Indian,05/09/2001
16,Madhav Tiwari,DC,N,N,N,All Rounder,Right Handed,Right-Arm Fast Medium,Indian,28/09/2003
17,Axar Patel,DC,N,N,N,All Rounder,Left Handed,Slow Left-Arm Orthodox,Indian,20/01/1994
18,Mitchell Starc,DC,N,N,Y,Bowler,Left Handed,Left-Arm Fast,Australian,30/01/1990
19,T Natarajan,DC,N,N,N,Bowler,Left Handed,Left-Arm Medium,Indian,04/04/1991
20,Mohit Sharma,DC,N,N,N,Bowler,Right Handed,Right-Arm Medium,Indian,18/09/1988
21,Mukesh Kumar,DC,N,N,N,Bowler,Right Handed,Right-Arm Medium,Indian,12/10/1993
22,Dushmantha Chameera,DC,N,N,Y,Bowler,Right Handed,Right-Arm Fast,Sri Lankan,11/01/1992
23,Kuldeep Yadav,DC,N,N,N,Bowler,Left Handed,Left-Arm Wrist Spin,Indian,14/12/1994
1,Shubman Gill,GT,Y,N,N,Batter,Right Handed,Right-Arm Offbreak,Indian,08/09/1999
2,Jos Buttler,GT,N,Y,Y,Wicket Keeper,Right Handed,-,English,08/09/1990
3,Kumar Kushagra,GT,N,Y,N,Wicket Keeper,Right Handed,-,Indian,23/10/2004
4,Anuj Rawat,GT,N,Y,N,Wicket Keeper,Left Handed,-,Indian,17/10/1999
5,Sherfane Rutherford,GT,N,N,Y,Batter,Left Handed,Right-Arm Fast Medium,West Indian,15/08/1998
6,Glenn Phillips,GT,N,N,Y,All Rounder,Right Handed,Right-Arm Offbreak,New Zealand,06/12/1996
7,Nishant Sindhu,GT,N,N,N,All Rounder,Left Handed,Slow Left-Arm Orthodox,Indian,09/04/2004
8,Mahipal Lomror,GT,N,N,N,All Rounder,Left Handed,Slow Left-Arm Orthodox,Indian,16/11/1999
9,Washington Sundar,GT,N,N,N,All Rounder,Left Handed,Right-Arm Offbreak,Indian,05/10/1999
10,Mohd. Arshad Khan,GT,N,N,N,Bowler,Left Handed,Left-Arm Medium,Indian,20/12/1997
11,Sai Kishore,GT,N,N,N,Bowler,Left Handed,Slow Left-Arm Orthodox,Indian,06/11/1996
12,Jayant Yadav,GT,N,N,N,Bowler,Right Handed,Right-Arm Offbreak,Indian,22/01/1990
13,Karim Janat,GT,N,N,Y,All Rounder,Right Handed,Right-Arm Medium,Afghanistan,11/08/1998
14,B Sai Sudharsan,GT,N,N,N,Batter,Left Handed,Leg Break,Indian,15/10/2001
15,Shahrukh Khan,GT,N,N,N,Batter,Right Handed,Right-Arm Offbreak,Indian,27/05/1995
16,Kagiso Rabada,GT,N,N,Y,Bowler,Left Handed,Right-Arm Fast,South African,25/05/1995
17,Mohammed Siraj,GT,N,N,N,Bowler,Right Handed,Right-Arm Fast,Indian,13/03/1994
18,Prasidh Krishna,GT,N,N,N,Bowler,Right Handed,Right-Arm Fast Medium,Indian,19/02/1996
19,Manav Suthar,GT,N,N,N,All Rounder,Left Handed,Slow Left-Arm Orthodox,Indian,03/08/2002
20,Gerald Coetzee,GT,N,N,Y,Bowler,Right Handed,Right-Arm Fast,South African,02/10/2000
21,Gurnoor Singh Brar,GT,N,N,N,Bowler,Left Handed,Right-Arm Fast,Indian,25/05/2000
22,Ishant Sharma,GT,N,N,N,Bowler,Right Handed,Right-Arm Fast Medium,Indian,02/09/1988
23,Kulwant Khejroliya,GT,N,N,N,Bowler,Left Handed,Left-Arm Medium Fast,Indian,03/03/1992
24,Rahul Tewatia,GT,N,N,N,All Rounder,Left Handed,Leg Break,Indian,20/05/1993
25,Rashid Khan,GT,N,N,Y,All Rounder,Right Handed,Legbreak Googly,Afghanistan,20/09/1998
1,Ajinkya Rahane,KKR,Y,N,N,Batter,Right Handed,Right-Arm Medium,Indian,06/06/1988
2,Rinku Singh,KKR,N,N,N,Batter,Left Handed,Right-Arm Offbreak,Indian,12/10/1997
3,Quinton de Kock,KKR,N,Y,Y,Wicket Keeper,Left Handed,-,South African,17/12/1992
4,Rahmanullah Gurbaz,KKR,N,Y,Y,Wicket Keeper,Right Handed,Right-Arm Medium,Afghanistan,28/11/2001
5,Angkrish Raghuvanshi,KKR,N,N,N,Batter,Right Handed,Slow Left-Arm Orthodox,Indian,05/06/2004
6,Rovman Powell,KKR,N,N,Y,Batter,Right Handed,Right-Arm Medium Fast,West Indian,23/07/1993
7,Manish Pandey,KKR,N,N,N,Batter,Right Handed,Right-Arm Medium,Indian,10/09/1989
8,Luvnith Sisodia,KKR,N,Y,N,Wicket Keeper,Left Handed,Left-Arm Medium,Indian,15/01/2000
9,Venkatesh Iyer,KKR,N,N,N,All Rounder,Left Handed,Right-Arm Medium,Indian,25/12/1994
10,Anukul Roy,KKR,N,N,N,All Rounder,Left Handed,Slow Left-Arm Orthodox,Indian,30/11/1998
11,Moeen Ali,KKR,N,N,Y,All Rounder,Left Handed,Right-Arm Offbreak,English,18/06/1987
12,Ramandeep Singh,KKR,N,N,N,Batter,Right Handed,Right-Arm Medium,Indian,13/04/1997
13,Andre Russell,KKR,N,N,Y,All Rounder,Right Handed,Right-Arm Fast,West Indian,29/04/1988
14,Anrich Nortje,KKR,N,N,Y,Bowler,Right Handed,Right-Arm Fast,South African,16/11/1993
15,Vaibhav Arora,KKR,N,N,N,Bowler,Right Handed,Right-Arm Fast Medium,Indian,14/12/1997
16,Mayank Markande,KKR,N,N,N,Bowler,Right Handed,Leg Break,Indian,11/11/1997
17,Spencer Johnson,KKR,N,N,Y,Bowler,Left Handed,Left-Arm fast,Australian,16/12/1995
18,Umran Malik,KKR,N,N,N,Bowler,Right Handed,Right-Arm Fast,Indian,22/11/1999
19,Harshit Rana,KKR,N,N,N,Bowler,Right Handed,Right-Arm Fast,Indian,22/12/2001
20,Sunil Narine,KKR,N,N,Y,All Rounder,Left Handed,Right-Arm Offbreak,West Indian,26/05/1988
21,Varun Chakravarthy,KKR,N,N,N,Bowler,Right Handed,Legbreak Googly,Indian,29/08/1991
1,Rishabh Pant,LSG,Y,Y,N,Wicket Keeper,Left Handed,-,Indian,04/10/1997
2,David Miller,LSG,N,N,Y,Batter,Left Handed,Right-Arm Offbreak,South African,10/06/1989
3,Aiden Markram,LSG,N,N,Y,All Rounder,Right Handed,Right-Arm Offbreak,South African,04/10/1994
4,Aryan Juyal,LSG,N,Y,N,Wicket Keeper,Right Handed,-,Indian,11/11/2001
5,Himmat Singh,LSG,N,N,N,Batter,Right Handed,Right-Arm Offbreak,Indian,08/11/1996
6,Matthew Breetzke,LSG,N,N,Y,Batter,Right Handed,-,South African,03/11/1998
